,Unnamed: 0,Unnamed: 0.1,iso_code,continent,location,date,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
77,81,81,GGY,Europe,Guernsey,2021-01-24,67052.0,,,,,,,,,,,,,,
78,82,82,GIN,Africa,Guinea,2020-03-13,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
79,83,83,GNB,Africa,Guinea-Bissau,2020-03-25,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
80,84,84,GUY,South America,Guyana,2020-03-12,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
81,85,85,HTI,North America,Haiti,2020-03-20,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51
82,86,86,HND,North America,Honduras,2020-03-11,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634
83,87,87,HKG,Asia,Hong Kong,2020-01-31,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
84,88,88,HUN,Europe,Hungary,2020-03-04,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
85,89,89,ISL,Europe,Iceland,2020-02-27,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
86,90,90,IND,Asia,India,2020-01-30,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
87,91,91,IDN,Asia,Indonesia,2020-03-02,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
88,93,93,IRN,Asia,Iran,2020-02-19,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
89,94,94,IRQ,Asia,Iraq,2020-02-24,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
90,95,95,IRL,Europe,Ireland,2020-02-29,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955
91,96,96,IMN,Europe,Isle of Man,2021-01-21,85032.0,147.872,,,,,,,,,,,,81.4,
92,97,97,ISR,Asia,Israel,2020-02-20,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
93,98,98,ITA,Europe,Italy,2020-01-31,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
94,99,99,JAM,North America,Jamaica,2020-03-11,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
